epoch,loss,f1_score,accuracy
1,0.11455351206930965,0.0,0.9871509028416053
2,0.10186387163969877,1.0,1.0
3,0.10186387214292873,1.0,1.0
4,0.10186387164106599,1.0,1.0
5,0.10186387190770843,1.0,1.0
6,0.10186387143353474,1.0,1.0
7,0.10186387109295574,1.0,1.0
8,0.10186387046378752,1.0,1.0
9,0.10186387105765783,1.0,1.0
10,0.1018638714439018,1.0,1.0
