epoch,phase,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,phase1,1.3216698410289358,53.69290573372206,0.5221776005000427,1.066262441850358,67.02334630350195,0.6646146831644487
2,phase1,1.0323269617646345,64.24522189828312,0.6371233556078517,0.9507043834790182,67.99610894941634,0.6721909028557439
3,phase1,0.943876002844306,66.71525753158406,0.6644125928868119,0.8377717408688615,72.66536964980544,0.7203398046766846
4,phase1,0.8986610056012434,67.93002915451895,0.6768398129985379,0.795868284043635,73.92996108949416,0.7370015571272661
5,phase1,0.8777485225901157,68.44833171363784,0.6833588940628201,0.7828184564521804,73.05447470817121,0.731960430607056
6,phase2,0.48425563669799404,83.33333333333333,0.8329996072055567,0.16126509456431443,95.62256809338521,0.9563499640892071
7,phase2,0.16059909760710642,95.08422416585682,0.9506134870820578,0.05180494035958246,98.73540856031128,0.9876724484536406
8,phase2,0.08777427709301505,97.54616132167152,0.9751097678318071,0.030283373095476112,99.22178988326849,0.992768150184759
9,phase2,0.047380291218747206,98.6799481697441,0.9865230867998965,0.0201280246201562,99.41634241245136,0.994087407847351
10,phase2,0.03439884525906279,99.01198574667963,0.9899744233510894,0.016362320724404772,99.41634241245136,0.9941348721137716
11,phase2,0.023395069513698012,99.41690962099125,0.9941813595835278,0.011449949534230319,99.61089494163424,0.995767146774894
12,phase2,0.01722964441220016,99.5059928733398,0.9950719075177241,0.014331261399499882,99.41634241245136,0.9940926693444042
13,phase2,0.016367106410526317,99.49789439585358,0.9948945509265369,0.011675504106310672,99.5136186770428,0.994919713351569
14,phase2,0.011749891497877796,99.651765468092,0.9964246268603797,0.007726084318518683,99.70817120622569,0.9970326519444546
15,phase2,0.011093217096869825,99.71655328798185,0.9971214440270469,0.007824731075502685,99.70817120622569,0.9972544259719737
16,phase2,0.008096576655896156,99.81373501781665,0.9980421754986593,0.00505782473751583,99.80544747081711,0.9980968534269954
17,phase2,0.00645382325926934,99.88662131519274,0.9989157806438164,0.004971107184837642,99.80544747081711,0.9980968534269954
18,phase2,0.0081228397874749,99.76514415289925,0.9976186539437749,0.004868046562464257,99.90272373540856,0.9991570314117368
19,phase2,0.007102779852655382,99.79753806284418,0.9979358460130963,0.004484517096583382,99.90272373540856,0.9991570314117368
20,phase2,0.0070408728901364135,99.83803045027535,0.9984176846435154,0.005188656245301213,99.80544747081711,0.9983146039567151
